"MD","Mud_Weight_kg_per_m3"
"290.0","1090.420253356558"
"677.0","1150.3302066191322"
"988.0","1139.5502273767468"
"1200.0","1150.3302066191322"
"1200.0","1150.3302066191322"
"1200.0","1150.3302066191322"
"1200.0","1150.3302066191322"
"1200.0","1270.160246026427"
"1223.0","1260.570333368691"
"1717.0","1270.160246026427"
"1774.0","1260.570333368691"
"1805.0","1270.160246026427"
"2121.0","1290.5302569141904"
"2379.0","1320.4903002861167"
"2602.0","1320.4903002861167"
"2720.0","1320.4903002861167"
"2720.0","1320.4903002861167"
"2720.0","1320.4903002861167"
"2720.0","1350.4403297635388"
"2720.0","1339.660350161674"
"2750.0","1459.490270102021"
"2750.0","1449.9003574442852"
"2750.0","1440.3103261583863"
"2959.0","1459.490270102021"
"3063.0","1459.490270102021"
"3063.0","1459.490270102021"
"3063.0","1459.490270102021"
"3106.0","1139.5502273767468"
"3333.0","1139.5502273767468"
"3338.0","1139.5502273767468"
"3461.0","1139.5502273767468"
"3467.0","1139.5502273767468"
"3635.0","1159.920238504163"
"3708.0","1169.5102703891937"
"3827.0","1159.920238504163"
"3893.0","1169.5102703891937"
"4015.0","1159.920238504163"
"4208.0","1169.5102703891937"
"4208.0","1169.5102703891937"
"4343.0","1159.920238504163"
"4438.0","1169.5102703891937"
"4489.0","1159.920238504163"
"4592.0","1109.5903035915944"
"4713.0","1079.6402741141724"
"4882.0","1030.5101809865155"
"5071.0","1030.5101809865155"
"5071.0","1030.5101809865155"
"5240.0","1030.5101809865155"
"5326.0","1030.5101809865155"
"5351.0","1030.5101809865155"
"5580.0","1030.5101809865155"
"5780.0","1030.5101809865155"
"5831.0","1030.5101809865155"
"5851.0","1030.5101809865155"
"5874.0","1030.5101809865155"
"5878.0","1030.5101809865155"
"5942.0","1030.5101809865155"
"6145.0","1030.5101809865155"
"6183.0","1030.5101809865155"
"6183.0","1030.5101809865155"
"6183.0","1030.5101809865155"
"6229.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1030.5101809865155"
"6280.0","1079.6402741141724"
"6280.0","1079.6402741141724"
"6280.0","1079.6402741141724"
"6280.0","1079.6402741141724"
"6280.0","1079.6402741141724"
"6280.0","1079.6402741141724"
"6280.0","1079.6402741141724"
"6280.0","1079.6402741141724"
